ID,Race,Ethnicity,Origin_Region,Settlement_Type,Equipment_Group,Outdoor_Skills,Urban_Skills,Knowledge,Craft,Literacy,Spoken_Languages,Starting_Capital,Starting_Equipment_Cost_BP,Starting_Equipment_Kit_Type,Final_Pocket_Money_BP,Armes_et_Bouclier,Armure,Monture_et_Reste,Combat_Points,Magic,Magic_Type,Magic_Subtype,Grappling,Melee,Projectiles,Fencing,Skill_Modifier,Height_cm,Weight_kg,Size_Score,Balance,Quickness,Coordination,Precision,Endurance,Vigilance,Beauty,Stealth,Speed,Special,Generation_Date
CH-00079,Human,Damaran,Damara,Rural Village,Groupe5_Nord_Sauvage,Extreme Cold Resistance | Complex Terrain Navigation | Mountain Endurance | Technical Rock Climbing | Desert Water Mastery | Hermetic Medicine,Noble Houses & Court Intrigue,Ruins & Major Archaeological Sites | Court Etiquette & Protocol | Elven Culture | Local Folklore & Legends,Architecture,Nar | Thorass,Chondathan | Nar | Vaasan,45,293.4,universal_standard,0,Brocchiere + Poleaxe + Rapier + Main-gauche + Dagger,Aucune,Aucun,17.22,NO,None,,8,1,-3,0,8,189.8,102.7,2,4,-1,-13,2,2,6,-11,-9,-6,Aucun,2026-05-31 23:57:03
CH-00080,Human,Tethyrian,Amn,Isolated Farmstead,Groupe2_Sud_Marchand,Open Land Navigation | Wild Plant Foraging | Forest Stealth | Desert Water Mastery | Desert Thermal Endurance,Urban Observation and Tailing,Divine Myths & Legends | Weave Theory | Genasi & Elemental Peoples,Architecture | Leatherworking & Tanning | Weapons & Armor Smithing,Cormyrian,Chondathan | Cormyrian,80,293.4,universal_standard,0,Target Shield + Composite Bow + Arming Sword + Dagger + Knife,Coat of Plates (5) + Arming Doublet (12) + Bascinet (5) + Besagews (2) + Gorget (6),Aucun,-6.88,YES,Théurgique,Magie Blanche,-2,-2,-1,-4,6,152.1,67.4,-2,-2,-3,0,0,-5,-7,-2,-2,-3,Aucun,2026-05-31 23:57:03
CH-00081,Human,Calishite,Calimshan,Major Port City,Groupe2_Sud_Marchand,,Urban Stealth & Shadowing | Streetwise (Urban Underworld) | Smuggling Networks | Urban Stealth & Shadowing,Major Religions & Deities | Political Currents & Rivalries | Divine Myths & Legends,Sail & Rope Making | Viticulture & Winemaking | Perfumery & Cosmetics,Chondathan,Calishite | Chondathan,177,293.4,universal_standard,70,Target Shield + Composite Bow + Arming Sword + Dagger + Knife,Harnois Maximilian de Maître (112.5) + Morion (3) + Gantelets renforcés (5) [Ajustement],Aucun,-1.62,NO,None,,0,0,-2,0,7,167.8,71.0,0,2,-2,1,-1,1,6,-1,2,-2,Aucun,2026-05-31 23:57:03
CH-00082,Other,Aarakocra,Star Mounts,Forest Village,Groupe3_Coeur_Continental,Mountain Endurance | Complex Terrain Navigation | Forest Stealth | Primitive Fire Mastery | Total Darkness Navigation,Heraldry & Lineage Recognition,"Elven Culture | Magical Schools & Traditions | Cosmology (Weave, Shadow Weave) | Gnomish Culture",Viticulture & Winemaking | Herbalism & Potion Brewing,Elfique,Auran | Elfique | Sylvestre,38,293.4,universal_standard,0,Target Shield + Heavy Crossbow + Arming Sword + Dagger,Aucune,Aucun,26.11,NO,None,,-3,1,7,5,-4,179.1,57.5,1,4,5,7,4,-2,4,-1,9,7,Vol,2026-05-31 23:57:03
CH-00083,Human,Turami,Chessenta,Small Town,Groupe2_Sud_Marchand,Coastal Survival,Urban Stealth & Shadowing | Noble Houses & Court Intrigue | Noble Houses & Court Intrigue,Guilds & Organizations | Gnomish Culture | History of the Realms | Ruins & Major Archaeological Sites,Leatherworking & Tanning | Masonry,Chondathan | Thorass,Chessentan | Chondathan,70,293.4,universal_standard,5,Target Shield + Composite Bow + Arming Sword + Dagger + Knife,Simple Breastplate (4) + Coat of Plates (5) + Bascinet (5) + Besagews (2) + Gorget (3.5),Aucun,-9.24,YES,Arcanique,Magicien,-6,-5,0,-4,5,160.7,57.5,-1,-4,2,-9,3,2,0,-7,-7,-1,Aucun,2026-05-31 23:57:03
CH-00084,Human,Tethyrian,Amn,Smuggler's Port,Groupe2_Sud_Marchand,Open Land Navigation | Wild Plant Foraging | Desert Water Mastery | Advanced Tracking | Forest Stealth,,Political Currents & Rivalries | Laws & Customs of Nations | Magical Schools & Traditions,Smithing & Metallurgy,Chondathan,Chondathan | Sembian | Tethyrian,95,293.4,universal_standard,5,Target Shield + Composite Bow + Arming Sword + Dagger + Knife,Mail Hauberk [25] + Reinforced Gambeson [4] + Bascinet [5] + Besagews [2] + Gorget [8.5],Aucun,-10.53,YES,Théurgique,Magie Verte,-4,-4,-5,-3,12,172.5,67.4,0,-7,2,-8,-2,-2,-13,-9,-10,-1,Aucun,2026-05-31 23:57:03
CH-00085,Halfling,Lightfoot Halfling,Luiren,Rural Village,Groupe3_Coeur_Continental,Wild Plant Foraging | Plains Tracking | Primitive Fire Mastery | Complex Terrain Navigation | Forest Stealth,Streetwise (Urban Underworld),Local Folklore & Legends | Divine Myths & Legends | Gnomish Culture | Magical Schools & Traditions,Embroidery & Fine Sewing | Accounting & Estate Management | Dyeing & Textile Coloring,Chondathan | Thorass,Chondathan | Gnomish | Illuskan,51,293.4,universal_standard,10,Target Shield + Composite Bow + Arming Sword + Dagger + Knife,Aucune,Aucun,-8.16,YES,Théurgique,Magie Verte,-18,-9,4,-7,-2,121.3,27.5,-7,1,-2,4,4,0,-4,8,12,-1,Furtivité,2026-05-31 23:57:03
CH-00086,Human,Calishite,Lantan,Remote Trading Post,Groupe3_Coeur_Continental,Total Darkness Navigation | Desert Water Mastery | Savanna Plant Knowledge | Desert Thermal Endurance,Disguise & Impersonation | Black Market Operations,Major Religions & Deities | Ruins & Major Archaeological Sites | History of the Realms,Glassworking,Infernal,Calishite | Halruaan | Infernal,137,293.4,universal_standard,10,Target Shield + Composite Bow + Arming Sword + Dagger + Knife,Maximilian Standard (48) + Tassets longs (3) + Sabatons larges (3) + Burgonet (5) + Plackart (2.5) + Besagews (2) + Gorget (22.5) [Note: rééquilibré],Aucun,14.6,NO,None,,3,2,3,2,7,177.0,83.2,1,2,0,3,2,-1,-5,3,1,1,Aucun,2026-05-31 23:57:03
CH-00087,Half-elf,Wood Half-elf,Silver Marches (Luruar),Isolated Hamlet,Groupe7_Marches_Argent,Open Land Navigation | Forest Stealth | Wild Plant Foraging | Complex Terrain Navigation | Advanced Tracking | Technical Rock Climbing,,"Halfling Culture | Ancient Realms (Netheril, Imaskar...) | Major Cities & Regions | Laws & Customs of Nations",Candle & Soap Making | Lens Making & Optics | Beekeeping,Illuskan | Sylvestre,Chondathan | Illuskan | Nain | Sylvestre,30,293.4,universal_standard,0,Target Shield + Heavy Crossbow + Arming Sword + Knife,Aucune,Aucun,4.64,NO,None,,0,0,2,0,8,172.4,71.0,0,1,0,2,2,-10,2,-10,2,0,Méditation + Immunité sommeil + VN (N1),2026-05-31 23:57:03
CH-00088,Human,Rashemi,Rashemen,Forest Village,Groupe10_Rashemen,Wild Plant Foraging | Hermetic Medicine | Forest Stealth | Advanced Tracking,Urban Observation and Tailing | Streetwise (Urban Underworld),Laws & Customs of Nations | Nobility & Heraldry | Local Folklore & Legends | Magical Schools & Traditions,Accounting & Estate Management,Chondathan | Thorass,Chondathan | Mulhorandi | Rashemi,43,293.4,universal_standard,0,Target Shield + Longbow + Arming Sword + Dagger + Knife,Aucune,Aucun,-5.78,YES,Théurgique,Magie Verte,-1,-1,-2,-3,4,166.2,78.9,0,0,-11,4,-1,1,-2,-6,1,-10,Aucun,2026-05-31 23:57:03
CH-00089,Human,Chondathan,Chondath,Rural Village,Groupe4_Vilhon_Est,Coastal Survival | Oceanic Navigation | Open Land Navigation | Dark Water Swimming | Littoral Foraging | Plains Tracking,,Major Cities & Regions | Guilds & Organizations | History of Magic | Genasi & Elemental Peoples,Accounting & Estate Management,Thorass | Chondathan,Chondathan | Thorass | Turmish,53,293.4,universal_standard,30,Target Shield + Composite Bow + Arming Sword + Dagger + Knife,Aucune,Aucun,1.48,NO,None,,2,1,-3,0,10,175.4,78.9,1,4,-3,-2,-1,4,-1,8,1,-4,Aucun,2026-05-31 23:57:03
CH-00090,Dwarf,Shield Dwarf,Citadel Adbar,Fortified City,Groupe6_Bloc_Nain,Complex Terrain Navigation | Underground Navigation,City Secrets & Hidden Routes | Streetwise (Urban Underworld),Spellplague & Its Aftermath | Local Folklore & Legends | Geography of Faerûn,Herbalism & Potion Brewing,Nain,Nain,64,293.4,universal_standard,0,Target Shield + Composite Bow + Arming Sword + Dagger + Knife,Jack of Plates (6) + Bascinet (5) + Besagews (1) + Gorget (2),Aucun,10.34,NO,None,,7,-1,-2,-8,11,145.0,97.4,-3,-1,-6,-9,3,6,6,-12,-10,-9,Vision dans le noir + Robustesse naine,2026-05-31 23:57:03
CH-00091,Human,Uthgardt,Spine of the World,Mountain Village,Groupe3_Coeur_Continental,Advanced Tracking | Deep-Sea Fishing | Forest Stealth,,"Cosmology (Weave, Shadow Weave) | Cultural Interactions | Political Currents & Rivalries | Court Etiquette & Protocol",Architecture | Leatherworking & Tanning,Uthgardt | Illuskan,Illuskan | Uthgardt,22,293.4,universal_standard,0,Target Shield + Light Crossbow + Arming Sword + Knife,Aucune,Aucun,-3.72,YES,Sauvage,Magie Verte,-4,-3,2,-3,3,175.5,74.8,1,-5,-9,6,2,-7,3,-3,-1,-7,Aucun,2026-05-31 23:57:03
CH-00092,Human,Chondathan,Chondath,Fishing Village,Groupe4_Vilhon_Est,Coastal Survival | Littoral Foraging | Open Land Navigation | Dark Water Swimming | Advanced Tracking,,Weave Theory | Fall of Myth Drannor | Political Currents & Rivalries | Nobility & Heraldry,Accounting & Estate Management,Cormyrian,Chondathan | Cormyrian | Infernal,65,293.4,universal_standard,10,Target Shield + Composite Bow + Arming Sword + Dagger + Knife,Jack of Plates (6) + Bascinet (5) + Besagews (1) + Gorget (2),Aucun,7.44,NO,None,,-3,0,4,2,5,177.4,60.6,1,2,2,2,3,-5,2,4,4,2,Aucun,2026-05-31 23:57:03
CH-00093,Elf,Wild Elf,Spine of the World,Mountain Village,Groupe3_Coeur_Continental,Marsh Disease Resistance | Forest Stealth | Rope Making and Knot Mastery | Trapping and Snaring | Advanced Tracking | Wild Plant Foraging,Urban Stealth & Shadowing,Orc & Goblinoid Culture | Local Folklore & Legends | History of the Realms | Cultural Interactions,Viticulture & Winemaking,Elfique | Druidic,Druidic | Elfique | Géant | Illuskan,21,293.4,universal_standard,0,Infantry Pavise + Arming Sword + Knife + Dagger,Aucune,Aucun,15.62,NO,None,,0,3,1,4,3,171.0,63.9,0,7,4,6,-1,0,-10,2,10,6,Transe + Immunité sommeil + VN (N2),2026-05-31 23:57:03
CH-00094,Human,Rashemi,Hordelands (The Endless Wastes),Farming Hamlet,Groupe3_Coeur_Continental,Marsh Movement | Advanced Tracking | Forest Stealth | Open Land Navigation | Weather Reading,Criminal Organizations & Syndicates | Sleight of Hand & Cheating,Geography of Faerûn | History of the Realms | Divine Myths & Legends | Major Cities & Regions,Cooking (Fine Cuisine) | Engraving on Metal & Gems,Infernal | Rashemi,Chondathan | Infernal | Rashemi | Tuigan,20,293.4,universal_standard,0,Brocchiere + Composite Bow + Arming Sword + Knife,Aucune,Aucun,1.02,NO,None,,2,0,0,-2,9,163.2,78.9,-1,-3,2,-2,1,-2,7,-2,-5,1,Aucun,2026-05-31 23:57:03
CH-00095,Half-elf,Moon Half-elf,Waterdeep,Major Port City,Groupe1_Cote_des_Epees,Forest Stealth,Noble Houses & Court Intrigue | Criminal Organizations & Syndicates | Disguise & Impersonation,"Elven Culture | Major Cities & Regions | History of the Realms | Cosmology (Weave, Shadow Weave)",Brewing & Distilling | Carpentry & Woodworking,Thorass | Chondathan,Chondathan | Thorass,260,293.4,universal_standard,250,Target Shield + Composite Bow + Arming Sword + Dagger + Knife,CAPARAÇON ET HARNOIS DE JOUTE D'ÉLITE : Harnois Joute Royale (168) + Pièces renforcées sup. (17),Aucun,-0.62,NO,None,,-2,-1,0,0,7,166.5,63.9,0,4,-1,-3,2,5,5,-3,2,-2,Méditation + Immunité sommeil + VN (N1),2026-05-31 23:57:03
CH-00096,Human,Tethyrian,Tethyr,Large Town,Groupe2_Sud_Marchand,Advanced Tracking | Forest Stealth,Smuggling Networks | Guild Knowledge & Politics | Fences and Buyers Network,Spellplague & Its Aftermath | Ruins & Major Archaeological Sites | Major Cities & Regions,Smithing & Metallurgy,Cormyrian,Chondathan | Cormyrian | Sembian,87,293.4,universal_standard,10,Target Shield + Composite Bow + Arming Sword + Dagger + Knife,Jack of Plates (6) + Arming Doublet (12) + Armet (8) + Besagews (2) + Gorget (8),Aucun,9.52,NO,None,,5,1,-1,0,8,175.2,92.4,1,-3,3,-3,0,-4,5,-1,-7,2,Aucun,2026-05-31 23:57:03
CH-00097,Human,Damaran,Damara,Rural Village,Groupe5_Nord_Sauvage,Mountain Endurance | Hermetic Medicine | Extreme Cold Resistance | Complex Terrain Navigation | Technical Rock Climbing,,Laws & Customs of Nations | Divine Myths & Legends | Gnomish Culture | Local Folklore & Legends,Leatherworking & Tanning | Lens Making & Optics | Preservation & Salting,Chondathan | Thorass,Chondathan | Damaran | Vaasan,45,293.4,universal_standard,0,Brocchiere + Poleaxe + Rapier + Main-gauche + Dagger,Aucune,Aucun,-4.62,YES,Sauvage,Magie Rouge,-1,-1,-2,-1,2,170.9,71.0,0,-1,0,-2,-1,0,0,-8,-2,-1,Aucun,2026-05-31 23:57:03
CH-00098,Human,Illuskan,Luskan,Major Port City,Groupe1_Cote_des_Epees,Deep-Sea Fishing,Urban Stealth & Shadowing | Criminal Organizations & Syndicates | Forgery of Documents & Seals | Urban Stealth & Shadowing | Forgery of Documents & Seals,Religious Cults & Orders | History of Magic | History of the Realms | Gnomish Culture,Shipbuilding | Stone & Wood Carving,Illuskan | Thorass,Illuskan,72,293.4,universal_standard,5,Target Shield + Composite Bow + Arming Sword + Dagger + Knife,Brigandine (8) + Aketon (2) + Sallet (4) + Besagews (2) + Gorget (5.5),Aucun,-1.0,NO,None,,2,0,-4,-1,11,178.6,83.2,1,-1,0,-4,-2,3,4,-4,-5,-2,Aucun,2026-05-31 23:57:03
CH-00099,Human,Damaran,Damara,Military Outpost,Groupe5_Nord_Sauvage,Extreme Cold Resistance | Complex Terrain Navigation | Hermetic Medicine | Shelter Construction | Technical Rock Climbing | Mountain Endurance,,History of the Realms | Guilds & Organizations | Major Religions & Deities,Clockmaking & Complex Mechanisms | Leatherworking & Tanning,Damaran,Damaran | Illuskan | Vaasan,55,293.4,universal_standard,0,Target Shield + Composite Bow + Arming Sword + Dagger + Knife,Pourpoint (3) + Cervelière (2),Aucun,-1.16,NO,None,,1,1,-3,-1,9,163.3,74.8,-1,1,-1,3,-3,1,0,-8,2,0,Aucun,2026-05-31 23:57:03
CH-00100,Gnome,Forest Gnome,Moonwood,Forest Village,Groupe3_Coeur_Continental,Advanced Tracking | Wild Plant Foraging | Marsh Movement | Primitive Fire Mastery | Forest Stealth,Poison Lore & Subtle Application,Magical Schools & Traditions | Geography of Faerûn | Weave Theory,Exotic Herbalism,Gnomish,Auran | Elfique | Gnomish,32,293.4,universal_standard,0,Target Shield + Composite Bow + Arming Sword + Dagger + Knife,Aucune,Aucun,-15.11,YES,Arcanique,Magicien,-15,-8,-1,-9,-4,110.8,30.6,-9,-2,2,4,-2,-6,8,9,8,3,"Vision nocturne N1, Affinité nature",2026-05-31 23:57:03
